LEGAL_NAME,DOT_NUMBER,POWER_UNITS,FLEETSIZE,TOTAL_DRIVERS,PHY_CITY,PHY_STATE,PHY_STREET,PHY_ZIP,PHONE,EMAIL_ADDRESS
YELLOWJACKET OILFIELD SERVICES,6745353,357,S,196.0,KILGORE,TX,620 FOUR S INDUSTRIAL BLVD,75662-5292,9037475184.0,CBARTRAM@YJOSLLC.COM
YJOS LLC,2400038,357,S,196.0,KILGORE,TX,620 FOUR S INDUSTRIAL BLVD,75662-5292,9037475184.0,cbartram@yjosllc.com
SPG TRANSPORTATION INC,2881143,357,S,357.0,GRAND PRAIRIE,TX,1102 AVENUE R,75050,9099930997.0,dispatch@spgtrans.com
"RAIDER EXPRESS, INC",6801581,355,S,740.0,FORT WORTH,TX,12544 NW HWY 287,76052,8002341534.0,chaddavis@raiderexpress.com
WARREN POWER & MACHINERY INC,1020540,353,S,320.0,MIDLAND,TX,15 SMITH RD,79705,4325714200.0,david.oleary@warren-equipment.com
RAIDER EXPRESS INC,817781,350,S,350.0,FORT WORTH,TX,12544 NW HWY 287,76052,8002341534.0,chaddavis@RAIDEREXPRESS.COM
JUST IN TIME CARGO INC,2129045,348,S,590.0,FORT WORTH,TX,15825 W TRINITY BLVD,76155,,gabriel@jitclogistics.com
ANGULO TRANSPORTATION SERVICE LLC,2477493,346,S,195.0,LAREDO,TX,216 PINTO VALLE,78045,9564897078.0,hector@angulotransportation.com
ENTERGY TEXAS INC,1721844,345,S,227.0,BEAUMONT,TX,60 N 11TH ST,77703,5013796817.0,fleetsupportcenter@entergy.com
KINDER MORGAN INC,430031,341,S,160.0,HOUSTON,TX,1001 LOUISIANA STE 1000,77002,3039147789.0,dennis_vallianos@kindermorgan.com
TITUS TRANSPORT HOLDINGS LLC,1832220,335,S,350.0,DENTON,TX,2800 SHORELINE DRIVE,76210,,markw@titustrans.com
HULCHER SERVICES INC,78783,332,S,317.0,DENTON,TX,611 KIMBERLY DR STE 101,76208-6385,9408989608.0,dot@hulcher.com
XLR8 DELIVERY INC,2926913,331,S,272.0,HOUSTON,TX,1310 E RICHEY RD,77073,2817842302.0,abraddick@xlr8delivery.com
SELECT DEDICATED SOLUTIONS LLC,1877140,329,S,658.0,LAREDO,TX,12375 MINES RD,78045,9567909090.0,safety@selectds.net
RUSSELL TRANSPORT INC,515580,329,S,304.0,EL PASO,TX,12365 PINE SPRINGS,79928,9155421495.0,RABDELJABER@RUSSELLTRANSPORT.COM
KIMRAD TRANSPORT LP,1175926,322,S,159.0,AMARILLO,TX,371 WEST LOOP 335 SOUTH,79118,8063317156.0,ptucker@kimrad.com
MULHOLLAND ENERGY SERVICES LLC,2444172,316,S,285.0,MIDLAND,TX,10308 WCR 72,79707,4326954111.0,Steve@mulholland.com
GFL PLANT SERVICES LP,1941213,312,S,252.0,SUGARLAND,TX,16011 W BELLFORT ST,77498,9843013327.0,smckeel@gflenv.com
CHALK MOUNTAIN SERVICES OF TEXAS LLC,345957,308,S,522.0,FORT WORTH,TX,1701 RIVER RUN  SUITE 200,76107,,dserach@cmstx.com
STV INCORPORATED,7838195,305,S,1436.0,FRISCO,TX,5750 GENESIS CT,75034-4163,4695504523.0,TAYLOR.SKINNER@STVINC.COM
DVP TRUCKING LLC,4134572,300,R,300.0,AUSTIN,TX,12501 TECH RIDGE BLVD APT 1228,78753,3129959902.0,TRUCKINGDVP@GMAIL.COM
M&J CARRIERS LLC,2349233,292,R,294.0,LAREDO,TX,14218 BUSINESS AVE,78045,,safety@mjcarriers.com
TEXAS FIRST RENTALS LLC,2594497,287,R,1.0,SAN ANTONIO,TX,5665 SE LOOP 410,78222,,jake.brigman@holtgroup.com
TIMCO LOGISTICS SYSTEMS LLC,1386339,285,R,285.0,WAXAHACHIE,TX,2270 W US HWY 287 BUSINESS,75167,2148027785.0,sperry@gotimco.com
VERIZON BUSINESS,256776,283,R,425.0,IRVING,TX,700 HIDDEN RIDGE MC HQW0BH50,75038,8003869639.0,hayden.parrish@verizon.com
NATIONAL TRENCH SAFETY INC,583798,282,R,158.0,HOUSTON,TX,260 N SAM HOUSTON PKWY E STE 200,77060,8322000988.0,VEHICLES@NTSAFETY.COM
CUSTOM COMMODITIES INC,293238,275,R,258.0,GILMER,TX,408 TRINITY ST,75644,8003453802.0,cdriggers@customcommodities.com
ENERGY SOLUTIONS (US) LLC,9122496,270,R,8.0,THE WOODLANDS,TX,2465 TECHNOLOGY FOREST BLVD,77381,4326855039.0,charles.mccollum@snf.com
"FRONTIER TANK LINES, INC.",8083533,268,R,178.0,MCKINNEY,TX,6850 TPC DR,75070-3145,9726713110.0,safety@frontiertanklines.com
RK SUPPLY,2989303,266,R,230.0,MIDLAND,TX,11400 W CNTY RD 30,79707,4325637900.0,mikelle.farris@rksupply.net
STREAMTECH INC,448601,265,R,235.0,HOUSTON,TX,4550 POST OAK PLACE DRIVE STE #335,77027,7136142705.0,jdaggs@streamtech.com
1884 LINE CO,4098837,264,R,246.0,THE WOODLANDS,TX,3831 TECHNOLOGY FOREST BLVD,77381,2815178900.0,MELINDA.BRANSCUM@KIEWIT.COM
PARKWAY TRANSPORT INC,212550,261,R,256.0,SAN ANTONIO,TX,5711 FM 78,78244,,rios.julian@heb.com
BDG TREES LLC,2558815,257,R,281.0,HOUSTON,TX,2015 AHRENS ST,77017,2813361349.0,SYEPEZ@BDGTREES.COM
FLYING A PUMPING SERVICES LLC,3091334,252,R,131.0,CISCO,TX,14902 I 20 N SERVICE ROAD,76437,2544422200.0,sheryl.weatherford@flyingapumps.com
SOUTHERN TRANSPORT LLC,1465793,250,R,283.0,GLADEWATER,TX,24291 FM 1252,75647,9039868900.0,Jacob@southerntransport.com
HYDRO RESOURCES MID CONTINENT INC,1222048,249,R,263.0,SUNRAY,TX,7531 FM 119,79086,8069484421.0,TGARTNER@HYDRORESOURCES.COM
AXIS POWER LLC,3506772,245,R,199.0,BEAUMONT,TX,4B BAYOUBRANDT,77706,4099262460.0,DWELCH@AXISPOWER.COM
NATIONAL HME INC,2087503,245,R,340.0,IRVING,TX,7651 ESTERS BLVD SUITE 125,75063,8007340831.0,kirk.pound@NATIONALHME.COM
EXPEDITED LOGISTICS AND FREIGHT SERVICES LLC,1240099,244,R,244.0,HOUSTON,TX,3031 EASTVELD DR,77073,2814423323.0,JTWARDOWSKY@ELFSFREIGHT.COM
PALLETIZED TRUCKING INC,152429,243,R,199.0,HOUSTON,TX,2001 COLLINGSWORTH,77009,7132253303.0,DYLONC@PALLETIZED-TRUCKING.COM
TRANCASA USA INC,2020332,243,R,211.0,PHARR,TX,100 S AUSTIN DR,78577-9796,9565587974.0,jachavez@trancasa.com
PINNERGY LTD,853312,241,R,239.0,AUSTIN,TX,2801 VIA FORTUNA SUITE 440,78746,5123438880.0,JRICH@PINNERGY.COM
SILVERTIP COMPLETION SERVICES OPERATING LLC,3053845,240,R,189.0,MIDLAND,TX,9816 W COUNTY ROAD 146,79706,4327701073.0,JOEL.HOLLAND@SILVERTIPCOMPLETIONS.COM
MAX CARGO LLC,3055122,240,R,240.0,MIDLAND,TX,6012 N COUNTY RD 1147,79705,4329676888.0,ROYALTYOGS@GMAIL.COM
D-TROY LOGISTICS LLC,3302039,240,R,450.0,PLANO,TX,5700 TENNYSON PARKWAY SUITE 300,75024,2143153282.0,GENERAL.MANAGER@dtroylogistics.com
RED ZONE COIL TUBING LLC,2269222,239,R,182.0,KILGORE,TX,3308 STATE HWY 135N,75662,2817305126.0,nathan.eller@NINEENERGYSERVICE.COM
A L HELMCAMP INCORPORATED,605143,239,R,88.0,BUFFALO,TX,4120 HWY 79 WEST,75831,,alhjc@alhelmcamp.com
ROYAL FREIGHT LP,959806,238,R,199.0,PHARR,TX,407 WEST SIOUX ROAD,78577,,safety@royalfreight.net
TERRIER TRANSPORTATION INC,694249,237,R,94.0,HOUSTON,TX,4708 FIDELITY ST,77029,7136710204.0,sheila.swain@terriertran.com
FENIX PARTS LLC,2964013,236,R,197.0,HURST,TX,860 AIRPORT FWY #701,76054,8177604570.0,STEVEBARKWELL@FENIXPARTS.COM
CREST PUMPING TECHNOLOGIES LLC,2264972,233,R,325.0,FORT WORTH,TX,6500 WEST FRWY SUITE 601,76116,2817305126.0,nathan.eller@NINEENERGYSERVICE.COM
PRIMARY UTILITY SERVICES LLC,2106680,231,R,107.0,SNYDER,TX,1505 ROGERS ST,79549,3255730707.0,BBROWN@PRIMARYUS.COM
FORGED FIBER 37 SERVICES LLC,4526637,231,R,1143.0,DALLAS,TX,208 S AKARD ST,75202,9724404011.0,MARY.PINDER@FORGEDFIBER37.COM
FREEMAN EXPOSITIONS LLC,73375,230,R,307.0,DALLAS,TX,14221 NORTH DALLAS PKWY #200,75254,4804902472.0,geb.walter@FREEMAN.COM
FJ CARRIER LOGISTICS LLC,3162922,230,R,330.0,LAREDO,TX,13911 COPPER DR,78045,9569625676.0,SAFETY@FJCARRIERLOGISTICS.COM
LARRETT ENERGY SERVICES INC,2265427,226,R,95.0,VENUS,TX,2700 CHAMBERS STREET,76084,2147414042.0,atorres@larrettenergy.com
BRIGHT STAR SOLUTIONS LLC,2283848,223,R,220.0,SOUR LAKE,TX,18788 HWY 105,77659,4092873662.0,monica@bright-star.us
CANO & SONS TRUCKING LLC,994751,222,R,199.0,SAN JUAN,TX,109 WEST DICKER RD,78589,,safety@canoandsonstrucking.com
TANKNOLOGY INC,478701,221,R,293.0,AUSTIN,TX,11000 N MOPAC EXPY SUITE 500,78759,5123807123.0,cperez@TANKNOLOGY.COM
JAX TRANSPORT LLC,1876810,221,R,196.0,AMARILLO,TX,7600 S FM 1541,79118,8063551463.0,cynthia@jaxtrans.net
LIGHTNING OILFIELD SERVICES INC,1782167,219,R,141.0,FT WORTH,TX,11830 NORTH SAGINAW BLVD,76179,8174395558.0,shanna@lightningos.com
TRI -STATE VACUUM AND RENTAL LLC,2954767,217,R,215.0,JOAQUIN,TX,12267 US HWY 84 E,75954,9362482325.0,abby.MASSEY@TRISTATEOILFIELD.COM
BROTHERS PRODUCE OF DALLAS INC,2316812,215,R,241.0,GARLAND,TX,2600 MCCREE RD,75041-3901,2144286666.0,luisc@brothersfoodservice.com
CANO AND SONS TRUCKING LLC,6826897,214,R,369.0,SAN JUAN,TX,109 W DICKER RD,78589-4796,9567028000.0,safety@canoandsonstrucking.com
VERIZON WIRELESS INC,868754,213,R,566.0,IRVING,TX,700 HIDDEN RIDGE MC HQW0BH50,75038,8003869639.0,sonya.schroeder@verizon.com
PATE TRUCKING COMPANY LLC,283481,212,R,214.0,LUBBOCK,TX,4025 112TH STREET,79423,8063687723.0,eric.ellison@patetrucking.com
RK HALL LLC,1386445,211,R,157.0,PARIS,TX,5020 SE LOOP 286,75460,9037159828.0,ashley.price@rk-hall.com
UNIQUE LEASING INC,363676,208,R,202.0,SAN ANTONIO,TX,8755 US HWY 87 E,78263,2106487770.0,rpollok@reynoldsnw.com
FEVID TRANSPORT LLC,2404947,205,R,175.0,FORT WORTH,TX,300 THROCKMORTON STE 300,76102,,hseteam@resourcetransport.com
CRAWFORD ELECTRIC SUPPLY - SONEPAR USA,4021082,204,R,198.0,HOUSTON,TX,7701 W LITTLE YORK RD STE 800,77040-5493,7134760788.0,MHudson@crawfordelectricsupply.com
SKY TRANSPORTATION SERVICES LLC,920253,204,R,217.0,EL PASO,TX,11650 GATEWAY BLVD E,79927-7702,9157788844.0,safetydivision@sky-transportation.com
GRACO FISHING & RENTAL TOOLS INC,308005,204,R,225.0,FRISCO,TX,5300 TOWN AND COUNRY BLVD,75034,2146183930.0,brad.shaver@gracosvcs.com
HUNTER EXPRESS US INC,2318362,202,R,240.0,LAREDO,TX,13151 SOUTH UNITEC DRIVE,78045,3133074185.0,nasir@hunterexpressus.com
TRADEX LOGISTICS INC,2360323,201,R,371.0,LAREDO,TX,607 GRAND CENTRAL,78045,,safety2@tradexlogisticsinc.com
AMERICANSTAR TRANSPORT LLC,1986353,201,R,296.0,NORTH RICHLAND,TX,5755 RUFE SNOW DR SUITE 190,76182,8882279844.0,safety@americanstartransport.com
OAK TRUCK LINES LLC,2261817,200,Q,130.0,LAREDO,TX,18658 MINES ROAD,78045,9565681170.0,safety@oaktl.com
CANAL TRANSPORTATION LLC,282131,199,Q,199.0,HOUSTON,TX,11643A WALLISVILLE ROAD,77013,7136721779.0,sandrac@CANALCARTAGE.COM
CRANEWORKS RENTALS LLC,3053890,198,Q,1.0,HOUSTON,TX,7795 EAST LITTLE YORK RD,77016,2812197779.0,customerservice@leetrans.com
GULFMARK ENERGY INC,229659,198,Q,165.0,HOUSTON,TX,2727 ALLEN PARKWAY STE 900,77019,7132092660.0,regulatory@gulfmarkenergy.com
DETMAR TRANSPORT LLC,3638442,196,Q,191.0,SAN ANTONIO,TX,18615 TUSCANY STONE STE 200,78258,2104712170.0,bvivens@detmarlogistics.com
FOUNDATION ENERGY SERVICES LLC,3793665,196,Q,167.0,SNYDER,TX,3204 W HIGHWAY 180,79549,3254360278.0,troy.botts@fndenergy.com
DISTRIBUTOR OPERATIONS INC,399953,196,Q,241.0,DALLAS,TX,14221 DALLAS PARKWAY STE 1000,75254,9729911444.0,YAMONNE.BLACKMON@IBSA.COM
RED STAG LLC,2562627,195,Q,148.0,CRESSON,TX,13446 CLEBURNE HIGHWAY,76035,,bobby.underwood@redstaglogistics.com
QUEST EVENTS LLC,1109328,194,Q,350.0,FRISCO,TX,2591 DALLAS PARKWAY STE 201,75034,2144364161.0,RBIRCH@QUESTEVENTS.COM
STEP ENERGY SERVICES USA LTD,2640421,193,Q,165.0,SAN ANTONIO,TX,70 NE LOOP 410 SUITE 600,78216,3375012406.0,louvy.lejeune@step-es.com
RESOURCE ENVIRONMENTAL SOLUTIONS LLC,3045249,191,Q,176.0,BELLAIRE,TX,6575 W LOOP S STE 300,77401,7133257227.0,rbzoza@res.us
BRIGGS INDUSTRIAL SOLUTIONS,891262,189,Q,157.0,DALLAS,TX,10540 N STEMMONS FRWY,75220,8006061833.0,JOHN.GOODPASTER@sammonsindustrial.COM
RJ TRANSPORTATION SERVICES LLC,3165130,187,Q,249.0,LAREDO,TX,8208 CAMINO COLUMBIA TOLL RD N,78045-6835,9565689818.0,jose.ochoa@rj-transport.com
XBL INDUSTRIAL MATERIALS LLC,3719615,187,Q,150.0,WEATHERFORD,TX,2901 GREENLEE PARK TRAIL,76088,,rhoyle@xcelbulk.com
TAS ENVIRONMENTAL SERVICES LP,1290854,187,Q,88.0,IRVING,TX,7301 N STATE HWY 161 STE 450,75039,8886540111.0,cdannis@taslp.com
3T CARRIER LLC,3615554,186,Q,373.0,LAREDO,TX,16464 US-83,78045,9565264224.0,safety@3tcarrier.com
APPLE MOVING LLC,3538096,185,Q,120.0,AUSTIN,TX,5206 WIND RIVER ROAD,78759,7573971248.0,SAFETY@APPLEMOVING.COM
VAC ONE LEASING LLC,2328948,185,Q,115.0,DEER PARK,TX,2909 AARON STREET,77536,2819782250.0,SHERIF.DWEEK@PRO-VAC.COM
CALDERON TRUCKING INC,3014754,183,Q,124.0,LAREDO,TX,203 LOBO LOOP,78045-8480,2144899068.0,calderondispatch21@gmail.com
LTS MANAGED TECHNICAL SERVICES LLC,1906799,181,Q,209.0,PFLUGERVILLE,TX,14400 THE LAKES BLVD STE 100 BLDG C,78660,7372285143.0,ltsdotcompliance@ledcor.com
RWLS LLC,1958573,181,Q,294.0,LEVELLAND,TX,1937 WEST AVENUE,79336,8068946008.0,MGRAY468@AOL.COM
CRANETECH INC,3993909,180,Q,255.0,ARLINGTON,TX,1209 STURGEON CT SUITE 107,76001,8669946478.0,DPOTTER@CRANETECHUSA.COM
VTS TRANSPORTATION INC,1930689,180,Q,185.0,SAN ANTONIO,TX,6100 BANDERA ROAD SUITE 115,78238,9165434300.0,info@vtstransportation.com
GULF STATES TRUCKING INC,1838380,180,Q,153.0,CHANNELVIEW,TX,17131 EAST FWY,77530,7139462900.0,SAFETY@GSTRUCKS.COM
VORTEX SERVICES LLC,1512588,180,Q,230.0,HOUSTON,TX,18150 IMPERIAL VALLEY DR,77060,,kestes@vortexcompanies.com
KOONER TRUCK REPAIR INC,3757006,179,Q,177.0,TOMBALL,TX,11027 NORTHPOINT BLVD STE E,77375,8888071412.0,JUSTINC@KOONERFMS.COM
SUNBURST TRUCK LINES INC,314795,178,Q,178.0,HOUSTON,TX,5121 A OATES ROAD,77013,7136721027.0,safety@sunbursttrucklines.com
TRIPLE RRR CARRIERS INC,3031364,177,Q,286.0,LAREDO,TX,20951 MINES ROAD,78045,9569496068.0,management@triplerrrcarriers.com
EL PASO ELECTRIC,333555,177,Q,252.0,EL PASO,TX,100 N STANTON,79901,9155434063.0,andrew.jones@epelectric.com
ACTION GYPSUM SUPPLY LP,1946292,177,Q,177.0,HOUSTON,TX,9635 WEST LITTLE YORK RD,77040,7138964002.0,ROBERTC@ACTIONGYPSUM.COM
ENBRIDGE ENERGY LIMITED PARTNERSHIP,113931,176,Q,180.0,HOUSTON,TX,915 N ELDRIDGE PKWY SUITE 1100,77079,7136274583.0,michael.burks@enbridge.com
EXPANSE ELECTRICAL COMPANY LLC,102788,176,Q,113.0,HOUSTON,TX,1155 DAIRY ASHFORD STE 620,77079,8323990054.0,ADAM.BELL@EXPANSEELECTRICAL.COM
JAMES POWER LINE CONSTRUCTION LLC,1976615,174,Q,165.0,BOERNE,TX,43 SHOOTING CLUB RD,78006,8307227752.0,JPL-DOTFLEET@PGSEQUIPMENT.COM
DC TRANSPORTATION SERVICES INC,1018527,172,Q,165.0,FORT WORTH,TX,2620 MCIVEY STREET SUITE B,76111,6823107300.0,ADMIN@DCTRANSPORT.BIZ
WESTERN CONCRETE PUMPING INC,2067501,172,Q,251.0,HOUSTON,TX,411 RANKIN CIRCLE N,77073,7605987855.0,BrettR@wCp.us.com
TM TRANSPORTATION SERVICES LLC,2252295,171,Q,234.0,LAREDO,TX,13491 SOUTH UNITEC DRIVE,78045,9567230555.0,safety.manager@TMTRANSPORTATION.US
CUMMINS SOUTHERN PLAINS LLC,335762,171,Q,168.0,ARLINGTON,TX,600 N WATSON RD,76011-5319,6822513465.0,drugtesting@cummins.com
BWI COMPANIES INC.,7901918,170,Q,98.0,NASH,TX,1355 N KINGS HWY,75569-2121,9038388561.0,davidsimpson@bwicompanies.com
ABSOLUTE GROUP INC,2531456,170,Q,174.0,LAREDO,TX,1208 VIDAL CANTU RD,78045,,absolute@absolute-fi.com
KOT SIDHU TRANSPORT INC,3728037,170,Q,170.0,IRVING,TX,2320 E UNION BOWER RD,75061,4699222321.0,kotsidhu@yahoo.com
FUTURE INFRASTRUCTURE LLC,1087897,166,Q,155.0,MESQUITE,TX,3325 INNOVATIVE WAY,75149,3463525200.0,ZBOYSEN@PRIM.COM
WEATHERFORD ARTIFICIAL LIFT SYSTEMS LLC,390016,166,Q,171.0,FORT WORTH,TX,7500 BENBROOK PARKWAY,76126,7138364341.0,SHAWN.HOLDEN@WEATHERFORD.COM
AMG TECHNOLOGY INVESTMENT GROUP LLC,3106626,165,Q,310.0,WEATHERFORD,TX,95 PARKER OAKS LN,76087-1265,9403891125.0,hrcompliance@team.nxlink.com
PLASKA TRANSMISSIONN LINE CONSTRUCTION LLC,1819706,164,Q,138.0,AMARILLO,TX,8901 EAST FM 1151,79118,7818128165.0,tammy.carter@unitedutility.com
HAIRPIN TRUCKING LLC,3105922,163,Q,181.0,HALLSVILLE,TX,1086 SHADY LN,75650,9039181654.0,T.GREEN@HAIRPINTRUCKING.COM
GLADIATOR ENERGY LLC,3194011,162,Q,202.0,THE WOODLANDS,TX,1400 WOODLOCH FOREST DR STE 425,77380,8327668070.0,mary.williams@gladiatorenergy.com
ALEMAN TRUCKING LLC,2959196,162,Q,159.0,ALAMO,TX,1330 N TOWER RD,78516,9562020779.0,ADMIN@ALEMANTRUCKING.COM; SAFETY@ALEMANTRUCKING.COM
TARGA TRANSPORT LLC,126597,161,Q,137.0,HOUSTON,TX,811 LOUISIANA SUITE 2100,77002-1400,7135841000.0,zmoravek@targaresources.com
FORCE LOGISTICS US LLC,2878088,161,Q,161.0,TOMBALL,TX,22828 PARK RD,77377,2104139991.0,RITAB@FORCELOGISTICSLLC.COM
BYRD OILFIELD SERVICES LLC,2147585,160,Q,92.0,ABILENE,TX,4725 LOOP 322,79602,3256900053.0,jstoneham@byrdoilfield.com
ASPHALT TRANSPORT INC,728166,159,Q,159.0,HOUSTON,TX,17311 MARKET STREET,77530,2814527070.0,wpick@atitransports.com
TRANSMAQUILA INC,1133590,159,Q,191.0,BROWNSVILLE,TX,5771 SOUTH PADRE ISLAND HWY,78521,9568310128.0,ljzamora@transmaquila.com
FREIGHT SOLUTIONS LLC,2149161,159,Q,148.0,HOUSTON,TX,15821 KIMBERLEE STREET,77049,8326191079.0,freightsolutionsllc@live.com
JETCO DELIVERY LLC,1470034,159,Q,124.0,HOUSTON,TX,3010 ALDINE BENDER RD,77032,7136761111.0,rates@jetcodelivery.com;
COVENANT TRUCKING LLC,3195397,159,Q,160.0,MIDLAND,TX,3911 SOUTH COUNTY ROAD 1232,79706,4327012434.0,NHARRIS@COVETRUCK.COM
LINCOLN FREIGHT COMPANY LLC,1390531,158,Q,155.0,LAREDO,TX,8417 AMPARAN RD,78045,,safety@set-logisplus.com
WARRIOR TECHNOLOGIES LLC,3013227,157,Q,125.0,MIDLAND,TX,400 W ILLINOIS AVE STE 950,79701,,compliance@warriortechnologies.net
GENESIS INTERMODAL SERVICES LLC,3408478,157,Q,158.0,SAN ANTONIO,TX,2714 N LOOP 1604 E STE 202,78232,,zjacob@phoenix-mgt.com
FORGELINE LOGISTICS LLC,3819283,155,Q,159.0,MCKINNEY,TX,2702 SYLVAN WAY,75072,8443745463.0,SAFETY@FORGELINELOGISTICS.COM
FROST FREIGHT INC,1540868,155,Q,181.0,LAREDO,TX,6909 SPRINGFIELD AVE STE 106,78045,9566125353.0,safety@frostfreightinc.net
HILCORP ENERGY COMPANY,2152506,155,Q,72.0,HOUSTON,TX,1111 TRAVIS ST,77002-5924,7137575252.0,fleetadmin@hilcorp.com
AEGIS CHEMICAL SOLUTIONS LLC,2362381,154,Q,150.0,HOUSTON,TX,4560 KENDRICK PLAZA DR SUITE 190,77032,2812584095.0,SHYDE@AEGISCHEMICAL.COM
ROLESA TRANSPORT LLC,2557404,153,Q,135.0,RIO GRANDE CITY,TX,6197 E HWY 83,78582,9565138004.0,ramiro@rolesatransport.com
GCC SUN CITY MATERIALS LLC,2934135,153,Q,100.0,EL PASO,TX,1 MCKELLIGON CANYON RD,79930-2634,9155654681.0,eescobedo@GCC.COM
JMR SERVICES LLC,2868934,152,Q,43.0,MIDLAND,TX,4706 GREEN TREE BLVD,79707,4326181050.0,ccox@jmrservices.com
COWBOY'S READY MIX LLC,2531274,150,Q,121.0,WALLISVILLE,TX,24015 INTERSTATE 10,77597,2819727000.0,INFO@COWBOYSREADYMIX.COM
ALL TIME LOGISTICS INC,2475440,150,Q,150.0,DALLAS,TX,4700 IRVING BLVD STE 200A,75247,9728728455.0,SAFETY@ALLTIMELOGISTICS.NET
ABURO TRANSPORTATION LLC,3508894,150,Q,255.0,ARLINGTON,TX,835 E LAMAR BLVD PMB207,76011,2064304276.0,ABUROTRANSPORTATIONLLC@GMAIL.COM
